date,Q,CD,HD,lnQ,month_name,dlnQ,dCD,dHD,DX70,DX90,days_in_month,prop_days_over_90,prop_days_under_70
2002-11-01,1508,2.566666666666667,0.7,7.318539548567902,Nov,-0.3297234823340185,-7.626881720430108,0.635483870967742,28,0,30,0.0,0.06666666666666667
2002-12-01,1809,0.0,9.806451612903226,7.500529485395295,Dec,0.1819899368273931,-2.566666666666667,9.106451612903228,7,0,31,0.0,0.7741935483870968
2003-01-01,2004,0.2258064516129032,3.2580645161290325,7.602900462204755,Jan,0.1023709768094605,0.2258064516129032,-6.548387096774194,24,0,31,0.0,0.22580645161290322
2003-02-01,1595,0.1785714285714285,5.821428571428571,7.374629015218945,Feb,-0.2282714469858104,-0.0472350230414746,2.5633640552995387,12,0,28,0.0,0.5714285714285714
2003-03-01,1662,2.4193548387096775,2.7096774193548385,7.415776975415394,Mar,0.041147960196449,2.240783410138249,-3.1117511520737327,23,1,31,0.03225806451612903,0.25806451612903225
2003-04-01,1457,5.766666666666667,0.5333333333333333,7.284134806195205,Apr,-0.1316421692201892,3.347311827956989,-2.1763440860215053,28,6,30,0.2,0.06666666666666667
2003-05-01,1827,18.322580645161292,0.0,7.510430556378006,May,0.2262957501828015,12.555913978494626,-0.5333333333333333,31,21,31,0.6774193548387096,0.0
2003-06-01,2743,26.733333333333334,0.0,7.916807490937603,Jun,0.4063769345595966,8.410752688172042,0.0,30,30,30,1.0,0.0
2003-07-01,3493,32.645161290322584,0.0,8.158516244806831,Jul,0.2417087538692284,5.911827956989249,0.0,31,31,31,1.0,0.0
2003-08-01,3574,29.612903225806452,0.0,8.181440695719374,Aug,0.0229244509125425,-3.0322580645161317,0.0,31,30,31,0.967741935483871,0.0
2003-09-01,3192,25.733333333333334,0.0,8.068402958569699,Sep,-0.1130377371496749,-3.8795698924731177,0.0,30,29,30,0.9666666666666667,0.0
2003-10-01,2474,17.70967741935484,0.0,7.813591552952433,Oct,-0.2548114056172661,-8.023655913978494,0.0,31,23,31,0.7419354838709677,0.0
2003-11-01,1714,0.6333333333333333,3.7333333333333334,7.446585099157725,Nov,-0.3670064537947075,-17.076344086021507,3.7333333333333334,19,0,30,0.0,0.36666666666666664
2003-12-01,2007,0.1290322580645161,8.32258064516129,7.604396348796338,Dec,0.1578112496386126,-0.5043010752688172,4.589247311827957,14,0,31,0.0,0.5483870967741935
2004-01-01,2164,0.1935483870967742,7.645161290322581,7.679713639966372,Jan,0.0753172911700339,0.064516129032258,-0.6774193548387091,11,0,31,0.0,0.6451612903225806
2004-02-01,1939,0.0344827586206896,9.172413793103448,7.569927655242652,Feb,-0.1097859847237199,-0.1590656284760845,1.5272525027808674,6,0,29,0.0,0.7931034482758621
2004-03-01,1879,8.806451612903226,1.5161290322580645,7.538494999413465,Mar,-0.031432655829187,8.771968854282536,-7.656284760845384,26,13,31,0.41935483870967744,0.16129032258064516
2004-04-01,1730,8.033333333333333,0.3333333333333333,7.455876687491824,Apr,-0.0826183119216406,-0.7731182795698928,-1.1827956989247312,28,8,30,0.26666666666666666,0.06666666666666667
2004-05-01,2162,18.35483870967742,0.0,7.6787889981991535,May,0.2229123107073292,10.321505376344088,-0.3333333333333333,31,30,31,0.967741935483871,0.0
2004-06-01,2850,26.2,0.0,7.955074273262696,Jun,0.2762852750635423,7.845161290322579,0.0,30,30,30,1.0,0.0
2004-07-01,3466,29.451612903225808,0.0,8.150756470275551,Jul,0.1956821970128555,3.2516129032258085,0.0,31,31,31,1.0,0.0
2004-08-01,3599,27.70967741935484,0.0,8.188411308079031,Aug,0.0376548378034797,-1.741935483870968,0.0,31,30,31,0.967741935483871,0.0
2004-09-01,3078,23.1,0.0,8.032035314398824,Sep,-0.1563759936802071,-4.609677419354838,0.0,30,26,30,0.8666666666666667,0.0
2004-10-01,2183,10.709677419354838,0.5483870967741935,7.688455356549944,Oct,-0.3435799578488803,-12.390322580645163,0.5483870967741935,29,15,31,0.4838709677419355,0.06451612903225806
