earn_per_hour,age,grade92,sex,race,marital,ownchild,emp_class,uhours
29.0865,45,40,2,1,1,0,"Private, For Profit",40
32.3076,45,41,1,1,1,0,"Private, For Profit",50
29.51,45,40,1,1,1,0,Government - State,60
13.75,28,35,2,7,1,1,"Private, For Profit",40
15.0,41,39,1,2,1,1,"Private, For Profit",40
8.5,42,39,2,1,3,0,"Private, For Profit",40
40.0,53,43,1,1,5,0,Government - State,20
6.785714285714286,47,40,2,1,5,0,"Private, For Profit",35
24.03825,48,43,2,1,5,0,Government - Local,40
15.3845,38,43,1,1,7,0,"Private, For Profit",40
7.051166666666666,30,40,2,1,3,0,"Private, For Profit",60
46.14,35,39,1,1,1,1,"Private, For Profit",50
21.52,37,39,2,1,1,1,"Private, For Profit",50
38.45,40,43,2,1,5,0,"Private, For Profit",60
20.0,61,40,2,1,1,0,"Private, Nonprofit",36
15.0,55,39,2,1,3,0,"Private, For Profit",3
28.365249999999996,47,43,2,1,1,1,Government - State,40
19.6,51,40,2,1,1,0,Government - Local,40
24.5,52,42,1,1,1,0,"Private, For Profit",40
16.0,20,39,1,1,7,0,"Private, For Profit",40
28.0,52,39,1,3,1,3,Government - Federal,50
25.9615,47,40,2,3,1,3,"Private, For Profit",40
13.0,41,42,2,1,3,1,"Private, For Profit",40
16.82675,38,39,1,3,1,1,Government - Local,40
11.0,37,40,2,1,5,3,"Private, Nonprofit",30
7.25,16,37,2,1,7,0,"Private, Nonprofit",5
14.422999999999998,31,41,2,2,5,2,"Private, For Profit",40
50.0,31,42,2,1,1,3,"Private, For Profit",8
18.75,41,40,1,4,1,3,"Private, For Profit",48
13.6125,16,39,2,4,7,0,"Private, For Profit",40
8.0,17,39,2,4,7,0,"Private, For Profit",20
11.3,29,40,2,1,7,1,"Private, For Profit",30
24.67,56,41,1,1,7,1,"Private, For Profit",40
28.84,28,39,1,1,7,0,"Private, For Profit",50
14.0,26,39,2,1,1,0,"Private, For Profit",40
13.0,32,39,1,1,1,0,"Private, For Profit",40
38.94225,57,41,2,1,7,0,Government - Federal,40
14.422999999999998,48,40,1,4,1,0,"Private, Nonprofit",40
21.1535,58,39,2,4,1,0,"Private, For Profit",20
10.57675,24,40,2,4,7,0,"Private, For Profit",40
13.0,60,40,1,1,1,0,Government - Federal,40
29.51,40,40,1,1,1,0,Government - State,84
10.0,18,40,2,1,7,0,"Private, For Profit",20
17.0,38,40,1,1,1,1,Government - Federal,40
12.5,32,40,2,1,1,1,"Private, For Profit",40
42.3075,56,40,1,2,3,0,Government - Federal,40
33.65375,40,40,1,3,1,1,"Private, For Profit",40
13.0,36,40,2,3,1,1,"Private, Nonprofit",40
8.65,52,39,1,1,5,0,"Private, For Profit",40
17.307499999999997,55,39,2,2,5,0,"Private, For Profit",40
10.0,62,41,1,4,6,0,"Private, For Profit",40
29.075,45,39,2,1,5,0,Government - Federal,40
10.5,20,40,1,1,7,0,Government - Federal,35
13.25,42,41,2,1,1,0,"Private, For Profit",40
13.0,27,39,1,1,6,0,Government - Federal,40
33.173,45,39,1,1,5,0,"Private, For Profit",40
11.0,19,39,2,1,7,0,"Private, For Profit",30
25.0,24,42,2,1,7,0,"Private, For Profit",40
27.45,48,40,1,1,1,0,"Private, For Profit",40
29.075,50,41,2,1,1,0,"Private, For Profit",40
14.35,25,39,1,3,7,0,"Private, For Profit",40
13.3,21,39,2,1,7,0,"Private, For Profit",40
15.0,52,39,1,1,7,0,"Private, For Profit",40
24.444444444444443,33,40,1,1,1,3,"Private, For Profit",45
14.46,33,39,2,1,7,0,"Private, For Profit",38
34.19,51,41,1,1,1,1,"Private, For Profit",40
23.075,50,43,2,1,1,1,"Private, For Profit",40
26.89375,53,40,1,1,1,1,Government - Local,40
7.75,34,36,1,1,5,0,"Private, For Profit",40
19.5,57,39,1,1,5,0,"Private, For Profit",40
57.69225,48,43,2,1,7,0,"Private, For Profit",40
10.5,43,39,2,1,6,2,"Private, For Profit",40
10.3,26,43,1,1,7,0,"Private, For Profit",40
16.0,55,39,2,1,1,0,"Private, For Profit",40
12.3076,56,39,1,1,1,0,"Private, For Profit",50
9.615208333333332,40,33,1,1,1,0,"Private, For Profit",48
5.128,43,39,2,1,1,0,"Private, For Profit",30
12.0,23,40,2,1,7,0,"Private, For Profit",40
19.7115,42,43,2,1,5,1,"Private, For Profit",40
7.75,23,40,1,6,7,0,"Private, For Profit",20
27.68,52,39,1,1,7,0,Government - Federal,50
31.57,32,41,2,1,1,2,"Private, Nonprofit",36
18.269,33,39,1,11,1,2,"Private, For Profit",40
31.25,47,44,2,2,1,2,"Private, For Profit",40
5.769,36,40,1,2,7,0,"Private, For Profit",40
10.0,59,34,2,1,5,0,"Private, For Profit",4
