date,p_MSFT,p_SP500,pct_msft,pct_sp500,p_AAPL,pct_aapl,riskfree_annual_pct,riskfree_monthly_pct
1999-08-31,46.28125,1320.410034,7.865986890021848,-0.6254092044500448,2.330357,17.17172682152752,4.72,0.3933333333333333
1999-09-30,45.28125,1282.709961,-2.160702228224176,-2.8551792268491583,2.261161,-2.969330450227148,4.68,0.38999999999999996
1999-10-29,46.28125,1362.930054,2.208419599723954,6.253954162596531,2.861607,26.55476545013822,4.86,0.405
1999-11-30,45.523438,1388.910034,-1.6374060769750232,1.906185862124965,3.495536,22.1529021979608,5.07,0.42250000000000004
1999-12-31,58.375,1469.25,28.230649012053966,5.784389487677943,3.671875,5.044691286257663,5.2,0.43333333333333335
2000-01-31,48.9375,1394.459961,-16.167023554603855,-5.090354874936187,3.705357,0.9118502127659412,5.32,0.44333333333333336
2000-02-29,44.6875,1366.420044,-8.684546615581102,-2.0108083261058285,4.09375,10.481931970387738,5.55,0.46249999999999997
2000-03-31,53.125,1498.579956,18.881118881118873,9.671982826973236,4.850446,18.484177099236643,5.69,0.4741666666666667
2000-04-28,34.875,1452.430054,-34.35294117647059,-3.079575555193137,4.430804,-8.651616779158033,5.66,0.4716666666666667
2000-05-31,31.28125,1420.599976,-10.30465949820788,-2.1915050512993584,3.0,-32.292197984835255,5.79,0.4825
2000-06-30,40.0,1454.599976,27.872127872127873,2.393354960890126,3.741071,24.702366666666652,5.69,0.4741666666666667
2000-07-31,34.90625,1430.829956,-12.734374999999998,-1.6341276221772727,3.629464,-2.9832900792313155,5.96,0.49666666666666665
2000-08-31,34.90625,1517.680054,0.0,6.069910518423605,4.352679,19.9262205107972,6.09,0.5075
2000-09-29,30.15625,1436.51001,-13.60787824529991,-5.348297474561125,1.839286,-57.74358734011857,6.0,0.5
2000-10-31,34.4375,1429.400024,14.196891191709838,-0.4949485872360881,1.397321,-24.02916131585844,6.11,0.5091666666666667
2000-11-30,28.6875,1314.949951,-16.69691470054446,-8.00686099610699,1.178571,-15.654956878197634,6.17,0.5141666666666667
2000-12-29,21.6875,1320.280029,-24.400871459694983,0.4053445529197841,1.0625,-9.848452066103786,5.77,0.4808333333333333
2001-01-31,30.53125,1366.01001,40.77809798270893,3.46365770863295,1.544643,45.37816470588236,5.15,0.4291666666666667
2001-02-28,29.5,1239.939941,-3.377686796315249,-9.229073584900004,1.303571,-15.60697196698525,4.88,0.4066666666666667
2001-03-30,27.34375,1160.329956,-7.309322033898303,-6.42047105408955,1.576429,20.931579484354913,4.42,0.36833333333333335
2001-04-30,33.875,1249.459961,23.88571428571429,7.68143617590098,1.820714,15.496099094852989,3.87,0.3225
2001-05-31,34.59,1255.819946,2.1107011070110815,0.5090187119649592,1.425,-21.734001056728292,3.62,0.3016666666666667
2001-06-29,36.5,1224.380005,5.5218271176640465,-2.5035389109833495,1.660714,16.54133333333334,3.49,0.29083333333333333
2001-07-31,33.095001,1211.22998,-9.32876438356164,-1.0740150072934165,1.342143,-19.18277319273517,3.51,0.2925
2001-08-31,28.525,1133.579956,-13.808735041283136,-6.410840656371475,1.325,-1.2772856543602384,3.36,0.27999999999999997
2001-09-28,25.584999,1040.939941,-10.30675197195442,-8.172340601971618,1.107857,-16.38815094339622,2.64,0.22
2001-10-31,29.075001,1059.780029,13.640813509510007,1.809911144527776,1.254286,13.217319563806518,2.16,0.18000000000000002
2001-11-30,32.105,1139.449951,10.421320363841067,7.517590426305354,1.521429,21.298412004917537,1.87,0.15583333333333335
2001-12-31,33.125,1148.079956,3.1770752219280496,0.7573834192915685,1.564286,2.8168912252888756,1.69,0.14083333333333334
2002-01-31,31.855,1130.199951,-3.833962264150947,-1.5573832559794276,1.765714,12.87667344718293,1.65,0.13749999999999998
2002-02-28,29.17,1106.72998,-8.428818081933754,-2.076621130556034,1.55,-12.216814274565412,1.72,0.14333333333333334
