female,age,education,ln_wage
0,44,PhD,3.9679306373664422
1,42,MA,3.9861250251832
1,36,MA,3.649657740960155
0,51,MA,4.091488636092755
1,44,MA,3.847484484290575
0,43,MA,3.8728004256064557
0,43,MA,3.9781602479294143
1,48,MA,3.4420193761824107
0,60,PhD,2.8023555472258956
1,46,MA,3.140914283398489
1,40,MA,4.440784463212395
0,39,MA,4.0551219824004106
0,52,MA,3.5935692743096115
0,48,PhD,3.9660902266984217
1,41,Professional,3.83197929775411
0,44,MA,3.3720251376939667
1,31,Professional,3.0044442141560124
1,53,MA,3.4195447021468808
0,45,MA,4.0551228490683195
0,37,Professional,3.986128120434929
1,59,PhD,3.2743105317563015
1,59,MA,3.415538498932813
1,59,MA,3.202746442938317
0,52,MA,4.054823804059818
0,42,MA,3.8728004256064557
1,39,Professional,3.3211525906531154
0,42,MA,3.7669972333778885
1,47,Professional,4.0551219824004106
0,33,MA,3.3817766814225516
1,44,PhD,3.8728004256064557
0,38,MA,4.0551219824004106
0,50,MA,3.744966738944418
1,45,MA,3.9681102902586276
0,41,MA,3.296540322224678
0,34,MA,3.1388292282982135
1,57,MA,4.27826553371462
1,54,Professional,3.1049274275793874
1,46,MA,3.3619713351613183
1,36,PhD,4.0158197991097895
0,38,Professional,3.8728004256064557
1,31,MA,2.302585092994046
0,52,PhD,4.27826553371462
1,39,PhD,2.4069451083182885
0,34,Professional,3.8728004256064557
1,44,MA,2.6390573296152584
0,56,MA,3.516124491189194
1,62,Professional,2.8381033293504077
1,51,Professional,3.1135153092103742
0,33,MA,3.179719109667007
0,52,MA,3.584906863730958
1,52,MA,2.6264785474083983
1,60,MA,3.258096538021482
0,51,MA,4.1604824980582364
0,52,Professional,4.0551219824004106
0,61,Professional,3.18738515777683
1,64,MA,2.122261538862764
1,57,PhD,3.798694320121143
1,37,MA,4.095943283585798
0,38,MA,3.872798692268385
0,40,MA,4.0551219824004106
1,43,MA,3.847484484290575
0,43,Professional,3.8728004256064557
1,44,Professional,4.1604824980582364
0,54,MA,4.0551219824004106
0,49,MA,3.8728004256064557
0,41,MA,3.585114886475528
1,36,MA,4.209271671749139
0,31,MA,3.6496187401606335
0,42,Professional,3.7124099515241302
0,51,PhD,3.8728004256064557
1,51,MA,3.42650768961832
1,28,MA,3.1790949548563563
1,43,MA,1.4648166828229714
1,41,PhD,4.055118515721264
0,40,PhD,4.27826553371462
0,45,Professional,3.649358695951653
1,42,MA,3.516124491189194
1,35,MA,3.295836866004329
1,32,MA,3.341765797892729
1,53,PhD,3.2188758248682006
0,61,PhD,3.1780538303479458
0,29,Professional,2.774181203568035
1,28,Professional,2.8134107167600364
0,50,MA,3.533119980872258
1,49,MA,3.3211507850921684
0,40,MA,3.2188758248682006
1,56,MA,2.4849066497880004
0,33,PhD,3.58351893845611
1,48,MA,2.8229698820090032
0,61,PhD,3.8728004256064557
1,36,PhD,3.244188299504935
0,33,MA,3.89260060583625
1,49,MA,4.0450711563101835
1,29,MA,3.58351893845611
1,53,PhD,3.83197929775411
0,53,PhD,3.6904781754776335
0,45,MA,3.6831757186972576
1,55,MA,3.5303086030406856
0,54,PhD,4.27826553371462
1,60,MA,3.530030253505124
1,34,MA,2.17632876013304
0,56,PhD,4.1604824980582364
0,58,PhD,3.872798692268385
1,61,MA,2.9565105604002095
1,25,MA,3.5361166995615263
1,54,MA,2.4445185888827123
0,61,PhD,4.135166556742356
0,47,PhD,3.472323531647176
0,46,MA,3.39476003969815
0,34,MA,2.745667064673517
1,38,MA,3.767436443269483
1,24,MA,3.0355537677406628
0,57,MA,3.4719664525503626
0,47,Professional,2.5998337593150387
0,42,PhD,3.8728004256064557
0,64,MA,3.5256020671253427
1,52,MA,3.5683083557327295
1,46,Professional,3.8316802527456075
1,35,MA,3.7669972333778885
0,43,Professional,3.2188758248682006
0,34,PhD,2.1092083666659507
1,25,MA,2.70518684635262
0,27,MA,2.745667064673517
1,27,MA,3.005298867423203
1,26,MA,3.1432898379116057
1,48,MA,4.095943283585798
0,48,MA,3.585114886475528
1,36,MA,3.248434627109745
0,49,MA,3.2441926328519908
1,50,MA,3.2489199462165774
1,32,MA,2.740840023925201
0,50,MA,3.659605111409941
0,36,MA,2.70805020110221
1,35,MA,3.7669972333778885
0,42,MA,3.7376696182833684
0,48,MA,3.9681102902586276
0,61,MA,4.0551219824004106
1,33,MA,3.095577608523707
0,55,PhD,2.8053785450627724
0,46,MA,3.7186462791000507
0,51,PhD,3.6525118099430616
1,32,MA,3.2188758248682006
0,50,MA,4.0551219824004106
0,54,MA,3.408494502323205
1,46,MA,3.036554268074246
0,46,Professional,3.8728004256064557
1,53,MA,3.8200016970664366
0,55,MA,3.872798692268385
1,49,MA,3.55434496114985
0,49,MA,3.8728004256064557
1,33,PhD,3.75217110448113
0,37,MA,3.46733358416022
0,50,MA,4.0551228490683195
1,63,MA,3.959811802596086
1,49,PhD,3.34516480441852
1,25,MA,3.0288285010431806
0,50,MA,4.054823804059818
1,46,Professional,3.5254777821724925
1,63,MA,3.6088346631048966
0,34,MA,3.544294336406378
0,47,MA,3.659450643423124
1,49,MA,3.7784916128036232
0,37,MA,2.9156820658523297
1,35,MA,3.2769770040417665
0,47,MA,3.5770815964921048
0,39,Professional,2.833213344056216
1,61,MA,3.9631912920025454
1,30,MA,2.8622008809294686
1,54,MA,3.5251833614431467
0,32,MA,2.2617630984737906
0,50,MA,3.4673353174982915
1,29,MA,3.310679865343238
1,46,MA,2.8361502037295256
1,29,MA,3.292980939874984
1,32,MA,3.3921475461422377
0,25,MA,3.4265113007499943
0,34,MA,3.949318790171843
1,50,PhD,2.9311937524164198
1,38,PhD,2.9565105604002095
1,34,Professional,3.2767253578549753
0,24,MA,3.0518195583844725
0,29,PhD,4.189654742026425
1,32,MA,3.2188758248682006
0,28,MA,2.822568654544802
0,56,PhD,3.8728004256064557
1,47,Professional,2.9562115153917077
0,61,PhD,4.27826553371462
0,49,MA,4.0551219824004106
0,32,Professional,3.2441900328460105
0,57,MA,3.894777372899364
1,30,MA,3.55434496114985
0,43,Professional,3.8728004256064557
1,55,MA,3.0416612054423906
0,59,MA,3.55434496114985
0,42,MA,3.8727622914748436
0,57,PhD,4.27826553371462
1,33,MA,3.59836376236116
0,54,Professional,4.27826553371462
1,53,MA,3.872799732271588
1,41,MA,3.5251833614431467
1,57,PhD,3.3612430661551227
0,25,MA,3.4671238280745746
1,49,MA,3.5619926042080823
1,30,MA,2.995732273553991
1,32,PhD,2.157992753010098
0,34,Professional,3.744967598450056
1,34,MA,2.8507065015037334
1,42,MA,3.9781602479294143
0,34,MA,2.302585092994046
0,29,Professional,2.4864887309706516
1,34,Professional,2.851145711395328
0,33,MA,4.126582261326674
0,30,MA,3.9215920754918434
0,55,MA,2.822370458131508
0,28,MA,4.278054044290903
1,30,MA,3.0516399054922867
0,28,Professional,4.0551219824004106
1,32,Professional,3.4673318508191446
1,38,Professional,3.8319782144191064
1,27,MA,3.292980939874984
0,32,Professional,3.2190458104198383
0,33,MA,3.7186497457791976
0,34,MA,4.0551219824004106
1,34,MA,4.012560408555747
1,33,Professional,2.7880929087757464
1,38,MA,3.6792128829971658
